"Sample name","Sample accession","Lane name","Lane accession"
500989,ERS139214,8205_3#17,ERR178164
503331,ERS139215,8205_3#18,ERR178165
504180,ERS139216,8205_3#19,ERR178166
504324,ERS139217,8205_3#20,ERR178167
504528,ERS139218,8205_3#21,ERR178168
504718,ERS139219,8205_3#22,ERR178169
505148,ERS139220,8205_3#23,ERR178170
505545,ERS139221,8205_3#24,ERR178171
602206,ERS139222,8205_3#25,ERR178172
700851,ERS139223,8205_3#26,ERR178173
702328,ERS139224,8205_3#27,ERR178174
702566,ERS139225,8205_3#28,ERR178175
100446,ERS139226,8205_3#29,ERR178176
400896,ERS139227,8205_3#30,ERR178177
401082,ERS139228,8205_3#31,ERR178178
401363,ERS139229,8205_3#32,ERR178179
402078,ERS139230,8205_3#33,ERR178180
402403,ERS139231,8205_3#34,ERR178181
402798,ERS139232,8205_3#35,ERR178182
402837,ERS139233,8205_3#36,ERR178183
402898,ERS139234,8205_3#37,ERR178184
702971,ERS139235,8205_3#38,ERR178185
702797,ERS139236,8205_3#39,ERR178186
703108,ERS139237,8205_3#40,ERR178187
703128,ERS139238,8205_3#41,ERR178188
703753,ERS139239,8205_3#42,ERR178189
703273,ERS139241,8205_3#44,ERR178191
103151,ERS139242,8205_3#45,ERR178192
300073,ERS139243,8205_3#46,ERR178193
402605,ERS139244,8205_3#47,ERR178194
501016,ERS139245,8205_3#48,ERR178195
503023,ERS139246,8205_3#49,ERR178196
503256,ERS139247,8205_3#50,ERR178197
302082,ERS139248,8205_3#51,ERR178198
401352,ERS139249,8205_3#52,ERR178199
401686,ERS139250,8205_3#53,ERR178200
401907,ERS139251,8205_3#54,ERR178201
402696,ERS139252,8205_3#55,ERR178202
402767,ERS139253,8205_3#56,ERR178203
402794,ERS139254,8205_3#57,ERR178204
402842,ERS139255,8205_3#58,ERR178205
403523,ERS139256,8205_3#59,ERR178206
500094,ERS139257,8205_3#60,ERR178207
500095,ERS139258,8205_3#61,ERR178208
703063,ERS139259,8205_3#62,ERR178209
302613,ERS139260,8205_3#63,ERR178210
302619,ERS139261,8205_3#64,ERR178211
302701,ERS139262,8205_3#65,ERR178212
500193,ERS139263,8205_3#66,ERR178213
700149,ERS139264,8205_3#67,ERR178214
700863,ERS139265,8205_3#68,ERR178215
201350,ERS139266,8205_3#69,ERR178216
302700,ERS139267,8205_3#70,ERR178217
302710,ERS139268,8205_3#71,ERR178218
503320,ERS139269,8205_3#72,ERR178219
G500407,ERS139271,8205_3#74,ERR178221
G504540,ERS139272,8205_3#75,ERR178222
G500007,ERS139273,8205_3#76,ERR178223
G503854,ERS139274,8205_3#77,ERR178224
G302551,ERS139275,8205_3#78,ERR178225
G302544,ERS139276,8205_3#79,ERR178226
G401529,ERS139277,8205_3#80,ERR178227
G603423,ERS139278,8205_3#81,ERR178228
E_509,ERS139279,8205_3#82,ERR178229
E_621,ERS139280,8205_3#83,ERR178230
E_710,ERS139281,8205_3#84,ERR178231
E_811,ERS139282,8205_3#85,ERR178232
E_1360_sec,ERS139284,8205_3#87,ERR178234
E_2362_sec,ERS139286,8205_3#89,ERR178236
E_2981_sec,ERS139299,8205_3#92,ERR178239
G400871,ERS150902,8205_8#70,ERR175724
G400792,ERS150870,8205_8#71,ERR175725
R402077,ERS150871,8205_8#72,ERR175726
G401436,ERS150903,8205_8#73,ERR175727
G500830,ERS150873,8205_8#74,ERR175728
R503696,ERS150874,8205_8#75,ERR175729
G303212,ERS150986,8205_8#76,ERR175730
G100788-1A,ERS150876,8205_8#77,ERR175731
G500297-1,ERS150905,8205_8#79,ERR175733
G702074-1,ERS150879,8205_8#80,ERR175734
G702074-2,ERS150880,8205_8#81,ERR175735
R203092-3A,ERS150906,8205_8#82,ERR175736
R203092-3B,ERS150882,8205_8#83,ERR175737
R302583-2A,ERS150883,8205_8#84,ERR175738
R302583-2B,ERS150987,8205_8#85,ERR175739
E_1429tiny,ERS163313,8630_6#92,ERR217371
E_1679sec,ERS163315,8630_6#94,ERR217373
E_2370sec,ERS163317,8630_6#96,ERR217375
ILBEcoli5442571,ERS206736,9475_4#58,ERR279354
ILBEcoli5442572,ERS206737,9475_4#59,ERR279355
ILBEcoli5442573,ERS206738,9475_4#60,ERR279356
ILBEcoli5442574,ERS206739,9475_4#61,ERR279357
ILBEcoli5442575,ERS206740,9475_4#62,ERR279358
ILBEcoli5442576,ERS206741,9475_4#63,ERR279359
ILBEcoli5442577,ERS206742,9475_4#64,ERR279360
